ID,Page 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Background,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,,5.460695303,5.669540449,5.788333891,5.765076459,5.780117494,5.825785567,5.900227795,5.818374042,6.052440172,6.045624475,6.005951019,6.054561903,6.025597009,6.093799387,6.054525572,6.100652323,6.103608759,6.092545968,6.172528674,6.183282652,6.221924867,6.189974823,6.300014169,6.182678236,6.308995193,6.317235065,6.533023067,6.821901783,7.278989417,8.289463645,10.07917085,14.11296763,21.3634523,31.83398184,42.40130054,51.60245162,60.84469585,69.48489902,77.28072492,84.58202996
2,,5.320820935,5.678263523,5.670956799,5.779710587,5.809545608,5.793087663,5.882988734,5.861099304,5.914514264,5.927748531,6.00266446,6.1326009,5.981771338,5.999302445,5.98268101,6.049003259,6.021686885,6.153418566,6.117619315,6.084465622,6.140026958,6.106115598,6.168048782,6.089426844,6.264532751,6.248921598,6.529117484,6.688537931,7.15202094,7.964255741,9.556013326,12.88014038,19.06533405,29.05551741,39.56598982,47.84525004,58.22013046,67.06610091,74.62612462,82.72361803
3,,5.231174182,5.382326531,5.383192187,5.601790392,5.622186618,5.573768568,5.589093614,5.703495406,5.618589848,5.753355518,5.749738169,5.840214565,5.687272215,5.861225065,5.820444909,5.880410884,5.82558938,5.860019282,5.896907701,5.950064851,5.86927378,5.946440833,5.978346061,5.986495766,5.975550352,6.058747234,6.286106661,6.458228428,6.822090704,7.680452606,9.320680083,12.43664781,18.2984156,27.76640617,39.17683446,48.9251109,58.87876707,67.48903258,75.21477073,82.93227537
4,,5.148393988,5.27831366,5.365776361,5.4009308,5.488779169,5.488924493,5.479841742,5.539142326,5.562735121,5.652145164,5.671778439,5.775212809,5.69911752,5.674478112,5.704694329,5.702296483,5.777424726,5.827655217,5.788824113,5.781033036,5.810126904,5.720607309,5.850614176,5.820008937,5.885295753,5.832405076,5.987992324,5.971669083,5.966160185,5.995152326,6.036672516,6.003989144,6.066869729,6.111047532,6.037877587,6.092692689,6.266168205,6.438762275,6.770326289,7.56593169
5,,5.203707942,5.561811755,5.624834507,5.636072328,5.703495406,5.832979106,5.841975222,5.898810886,5.999643956,6.019139173,5.923806617,6.18112459,6.057068742,5.98163831,5.990038039,6.127641718,5.999411438,6.092491471,6.112573434,6.098561544,6.090093625,6.144372146,6.256198978,6.157996272,6.162069886,6.256416964,6.395768165,6.63990469,7.093503125,7.8346358,9.29779155,12.43621184,18.2702945,27.82611758,38.56085625,47.55779355,56.98980189,65.10861154,70.83950052,79.75683659
6,,5.704331019,5.87904682,5.95537826,5.961372876,5.891508354,5.984995295,6.178479693,6.116070293,6.110831362,6.177438949,6.174236231,6.256771191,6.139576453,6.179045548,6.252956435,6.257288908,6.176750337,6.268054064,6.324152488,6.232840936,6.250095369,6.210828819,6.322219679,6.303174966,6.382261974,6.401042309,6.577147072,6.756585903,7.429181789,8.400759136,10.37343522,14.33404773,21.94410838,32.44449531,42.91437781,51.61657599,61.45682968,70.14419776,76.31963291,84.2568602
7,,5.506675822,5.795049537,5.754529289,5.833524071,5.908762787,5.924696727,5.910523443,5.944680177,5.851600143,6.078372684,6.033769389,6.152853784,5.992922161,6.105956301,6.146686151,6.173037308,6.121919585,6.231021592,6.236689228,6.200350958,6.214287531,6.287479973,6.290120957,6.2125347,6.301848885,6.344114419,6.525344648,6.794333817,7.198770559,7.885004196,9.338630394,12.27913837,18.22985809,28.16913536,38.84122988,48.54777709,58.15747311,67.03112254,74.84051779,82.40563567
8,,5.403982605,5.603367157,5.695211937,5.86181195,5.739245114,5.814323135,5.813687343,5.823554843,5.849135224,5.970637282,5.959970499,6.048022322,5.979356723,5.914396887,5.960078584,6.021616948,6.043276934,6.153309573,6.120158929,6.018921187,6.07929605,5.978993413,6.102941176,5.988185157,6.150802734,6.104015666,6.222746507,6.261757621,6.264133669,6.411949994,6.557128688,7.091916533,7.862878614,9.589314325,12.81055924,19.06843671,28.84168765,38.79433382,46.95680607,56.62441825
9,,5.173825691,5.499896457,5.610633358,5.647770911,5.779354543,5.687389592,5.846930212,5.762510931,5.804179798,5.822725379,5.863736934,5.938302688,5.886320287,5.910037167,5.890084179,5.959117559,6.037642833,6.024261845,6.01921463,6.109712367,6.055106868,6.072951997,6.136960621,6.110181876,6.167109765,6.171184427,6.494004965,6.591897459,7.07091337,7.969024186,9.660268777,12.9820237,19.53281961,29.41939422,38.72314685,48.00907912,56.10675593,64.84659233,71.49974387,78.51143155
