Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,128975,130048,131551,130046,130990,132788,130775,133622,128962,127068,130654,127953,130674,130022,130687,132431,132491,132387,134685,130648,131846,130125,129594,127047,141037,140624,139373,139944,138216,140780,138013,138258,139029,137583,138101,136482,140158,142725,139113,139050,139589,141540,140264,138865,137888,138438,136891,139338,127938,132699,133265,131698,130254,131792,131510,130926,130423,131482,130928,129152,128714,134285,133122,132542,131850,132228,131614,132269,132745,134700,130255,128038,139861,142913,142130,141475,141236,140478,140511,141415,144311,141440,141247,137587,143030,140489,140302,139522,142829,137926,141876,140792,139631,142033,138025,139055
0.083333333,128830,131230,129585,130905,132465,132057,128224,132660,129258,129003,129899,127057,129039,130123,130461,131364,131618,131304,134294,131229,131578,130414,129760,128260,141197,142153,143296,140948,140163,141043,139216,137925,136317,137647,138829,136023,139333,142889,140352,137024,138506,142194,139444,138473,138099,139959,137007,140135,130073,131576,131551,132176,129452,132163,130169,133794,128816,130642,130210,128221,128712,132789,135959,132538,133865,133040,132010,132846,134429,138004,133429,130036,141027,142245,141075,142413,141237,142070,141911,140921,141986,141522,141342,139151,142421,141503,140618,140115,141703,139036,141214,141532,138551,141611,140408,141253
0.166666667,129808,133668,130433,133131,131470,131894,129118,130760,127695,127071,130300,126528,129695,134150,131911,133380,131600,132981,135208,131989,131257,130508,129714,130636,141357,141179,141486,139244,140048,141648,140050,139619,139868,138538,139546,136905,140624,143718,142218,139137,140836,144238,143080,139132,138466,139258,137890,142549,129957,130851,129916,134006,131204,132079,132360,132613,131105,131253,131883,129787,130607,134850,134525,133239,134427,133772,134791,133484,132992,138375,135770,130229,141406,143251,141549,144437,143501,141615,141993,143591,144834,143149,143980,137928,143254,143889,140879,142223,141300,139979,139152,143218,140064,142807,139298,140788
0.25,130193,131880,129581,131532,131839,133025,128453,134851,128356,128719,131369,129182,130095,133594,131759,135165,134600,135781,134591,132637,132529,131268,130447,131582,144522,143178,140985,140596,140670,140601,140274,138982,140472,137606,137659,136128,139568,141864,142062,139456,140709,143060,144064,139986,140143,139698,138665,140410,130010,133015,135116,134610,131574,131888,133527,133581,133159,133574,133620,127178,129610,135245,136154,131890,133040,131953,133899,133773,135055,137710,135131,129253,142601,144230,141647,144146,141603,141543,141633,143054,144899,142363,143012,139008,142659,143111,140486,140888,142536,139152,142800,142832,141977,141902,139555,143229
0.333333333,127861,131758,131004,135109,132211,132433,130434,133998,129360,128780,133171,128908,130182,133461,129921,133464,132162,133062,134618,131358,132390,130640,131445,130433,143503,143546,141226,141806,140609,141444,141520,139257,139672,139190,137707,136054,140825,144779,143444,139181,140948,146825,143274,142246,139971,141897,139332,140550,130261,131992,132513,133602,129638,131586,131153,133139,131422,133871,130372,131341,131449,134738,138535,135695,135579,134394,136894,134114,135111,138872,136007,131330,141018,144544,141486,143524,143395,142541,141365,144430,144786,143596,143263,138780,142846,143679,141173,141031,143761,141215,142168,145710,142481,143405,139479,142719
0.416666667,131050,133662,130483,132463,134634,132710,133318,132797,132629,130478,132471,129874,131669,134746,132307,134322,135487,135684,135613,132897,132311,131442,130991,130835,144344,143609,143219,142445,140959,141724,141886,142063,139714,138394,139230,137973,144037,143625,144186,139859,142141,146143,145279,141776,141195,141167,139277,142689,129958,134123,134011,134512,131998,131715,133378,133797,133238,132093,134748,132116,131060,136196,137946,136124,135598,134301,133095,133847,136007,139240,135915,130492,142572,145260,143314,145158,142613,139567,143408,144387,146169,144158,144634,137706,145171,142399,143098,140905,145114,141920,142022,144495,143060,142567,140181,142026
0.5,130902,135007,130902,132849,133616,134323,132396,134540,131403,129437,130835,129259,131730,135304,131920,135036,135736,134453,135474,132660,133694,132992,132617,131746,145580,141736,141778,142909,141584,141802,140047,141462,139202,139781,138714,138238,141393,146301,142768,139502,141968,146163,143947,141420,139687,142592,138837,141911,132642,135976,136581,135578,130643,135041,133496,136420,133784,135453,134106,132090,132818,136315,137960,134193,136264,135710,134547,135126,137410,138718,137978,132657,140281,145750,141654,145078,144498,142675,143953,142500,146518,143252,143934,138715,146986,143431,143170,142166,144849,141952,142227,145240,141308,145138,141060,142876
0.583333333,130495,132917,131721,135417,134136,134346,132642,133782,129985,128395,132182,130282,130496,134132,131971,136886,134491,134098,135533,132238,134865,132160,132749,133417,144196,141770,142679,141768,144486,141838,143041,140892,139509,139930,139498,136933,141502,144350,144061,142672,141755,144776,147481,140932,139579,140720,140477,143874,132501,132371,133506,135908,131918,130724,134704,134331,132033,133575,134045,131620,130384,134751,135879,135799,135947,134335,134322,132270,136723,140276,137141,130716,141957,146808,144858,146440,142892,145680,143133,144377,148055,146677,145234,139388,144881,144003,141371,142562,143163,141007,142071,143026,140805,144642,142739,142233
0.666666667,132053,133282,131367,133172,132907,134722,131866,133565,131852,128292,133190,130963,130217,133334,132371,135807,134771,133625,135893,134504,134482,134791,133104,130811,142645,144174,142414,142525,141961,142967,140985,141949,140129,141106,141537,139221,141093,143705,143486,140482,141237,144589,144413,141499,140441,140838,140675,140091,132215,133558,136251,137267,132700,134959,134610,134010,133129,134524,134228,135744,131132,134753,137346,137673,133747,135425,134993,132984,135082,139201,138305,134146,141367,144817,141461,144206,145246,142211,143580,143904,145790,143235,143176,140095,146508,143519,141917,141860,143621,143085,140719,144830,141690,143546,139629,145184
0.75,132817,134016,132530,134198,133688,133534,132150,134917,129655,130490,132842,131388,131516,134869,131321,133782,132968,134162,134341,133839,133768,132277,132195,133586,143869,143278,142925,141264,141796,142876,142703,142988,139901,141268,140701,138846,139934,144097,143191,140319,140282,145051,143299,141490,140478,142259,140928,143614,132569,132500,133813,137946,133224,134489,131677,133398,133446,131163,135553,133893,131935,138023,137415,132748,135159,135100,136420,136762,135269,138737,139179,132883,141612,145706,142468,144583,144052,145694,144145,143229,146418,142672,143306,140972,144367,142683,141738,142268,143002,141671,143680,146659,142780,142699,142574,142314
0.833333333,130785,131688,131944,132948,132209,134760,131273,132657,129894,128685,131942,132246,130329,134434,131888,133305,133469,134680,134701,131615,132938,133736,133777,131312,142370,142849,142765,142324,141535,141517,139418,141132,139517,138632,140698,137891,142795,142903,143735,140263,141973,145524,143545,141714,141384,139967,139169,142118,133844,133430,133791,136669,131704,131742,133737,133504,133411,134494,136429,132457,133460,134298,136904,134605,135717,133823,134158,134277,136770,139097,138180,134657,145013,146384,142968,144668,144486,142117,143822,144028,146129,143916,141963,139562,144529,142464,142208,141248,144387,140899,142624,144877,141706,144582,142073,141719
0.916666667,131673,134933,132985,134351,133211,135666,132009,132627,131102,129173,134180,130381,131675,133479,130971,135359,133152,133947,134498,133192,132302,132328,134749,132587,144345,144683,143356,142630,140661,143312,140783,142115,139380,142087,141911,138707,142185,144216,143250,139025,141926,144814,143978,141826,140919,141876,139373,142740,131722,133964,135600,137171,130897,133896,134040,133117,133860,134565,136139,134788,131172,135018,137130,136126,136861,136515,135894,135827,136883,141517,139956,134220,141774,144915,142426,144745,141599,143040,142929,143002,147933,144079,143391,140075,143827,142941,142215,140312,145004,139967,142698,144959,144930,142158,142039,142895
1,131527,132932,128939,134233,134196,134524,130880,132098,131218,129484,134604,132257,130272,133148,134092,134644,133466,133006,135735,134176,133463,134215,135120,132278,143408,143772,141151,142560,143314,141941,141285,139989,140426,141997,138012,137363,139822,144244,144539,138769,139435,144735,145074,140961,140454,142413,139136,142611,129413,135855,133091,134566,132443,131417,133266,133458,131425,132192,136968,132991,132221,137273,137341,133682,133128,134440,134045,132290,135418,138981,138453,132181,140884,144650,144729,145561,143998,143355,146148,145239,146160,144407,144185,140164,144775,142776,140869,141386,144103,139043,142706,144086,140245,141098,140386,141897
1.083333333,130451,133415,132473,134406,133623,133844,132953,132792,131160,131371,135924,135764,131580,135312,133531,136459,133980,135051,135067,134495,134047,132986,134639,134154,143426,143604,142563,142344,141471,143554,141024,141244,140809,141643,138916,137166,143027,145671,143356,141300,140173,145550,144118,142700,140754,142350,142016,143119,132402,135313,134161,135963,131608,132388,134001,134530,132879,133065,138016,135861,133289,135467,138449,135870,137377,135614,135951,136983,137280,141447,141687,134648,141369,144553,142829,144426,144227,141863,142423,143911,146386,143612,143893,139006,145323,144379,140864,141906,143508,139452,142342,143628,142566,143192,142685,142918
1.166666667,130711,133779,131335,133779,130528,134681,131753,132934,129858,127594,133491,133681,132118,136657,131278,135781,134880,134547,136183,133582,132551,132555,133210,133601,143643,141937,142533,142141,141719,144890,142047,142195,139090,140654,138502,137243,140698,144564,142727,141128,141820,145998,147041,142582,141290,142168,141381,141961,131912,132565,134280,136134,132281,132379,132835,134341,132398,133444,136303,134481,128443,135843,134524,134367,134523,134325,134418,132851,137271,137975,139459,132318,142172,145902,144238,145963,143460,141805,143001,146208,144469,144515,143970,140812,143526,142478,142324,141021,143217,139326,142843,141503,142050,142533,141112,142419
1.25,130838,135730,130660,134490,134227,133233,132711,133336,132187,130402,133723,131498,131058,135916,132718,134831,134436,134544,135582,132569,134075,131477,135159,136354,142907,142900,140463,141112,141940,140747,139543,140167,138989,141415,138431,137300,140083,142505,142349,140908,141927,144041,142598,139099,140591,141602,138545,141519,131902,133605,134131,135705,132585,133182,133417,134303,132566,133162,137267,135962,130068,135712,136419,133595,132174,133813,133827,133909,136197,137954,139903,134003,141208,142625,142851,143704,141903,141838,142496,143282,143027,141944,143681,137668,144351,141657,140891,140930,142862,137740,140740,144706,140372,145399,141054,142350
1.333333333,130238,134480,130950,133988,134188,134433,130099,133269,132386,129366,134193,134049,130978,134202,133409,135146,133366,134091,134028,132056,132919,132672,135194,133814,142152,142968,143174,141068,141581,140840,142148,140500,139992,139216,139097,138573,141259,144131,141674,141112,141735,143952,143318,139761,140160,140631,140091,141515,132346,134009,133227,136411,130417,132705,133863,135770,134276,134180,137847,135109,130938,135189,137910,133254,134641,134653,135082,134110,136203,138060,140396,134863,141113,145826,143226,145531,143918,141141,142330,144016,145582,143506,142049,140373,144056,141148,142126,139567,142108,140761,142244,145153,140908,141177,139967,141691
1.416666667,131027,133740,131533,133591,132966,132832,132689,134264,132700,131382,136445,134385,131102,133618,132327,133344,131507,132821,134525,131831,133589,131589,136305,134850,142504,143043,143069,140890,141865,142227,140301,140529,140265,139206,139379,137753,140942,143704,142604,138756,139583,146332,142738,140309,139866,139493,140681,140923,131920,135387,133904,136095,130921,133522,132489,134473,132253,133846,139122,136044,130678,135744,136382,134913,132932,132520,134428,133278,133111,141134,139753,134698,140900,145977,143142,143588,141642,140369,141191,143314,146421,142964,141978,138869,142907,140405,141749,141003,142215,138652,142978,142213,140800,140688,143152,141609
1.5,130345,132032,131049,133720,133190,133008,131664,133627,132505,129429,133773,134093,130600,133946,129951,133957,133665,134563,135506,134356,132916,132094,135671,135649,142537,142466,142093,142401,137929,141961,140021,141490,140569,140424,137867,138117,138708,142504,143412,139144,139396,142933,142701,139819,139538,139066,138444,141420,130640,133375,134966,134361,131139,131998,132771,132204,131193,131907,136211,135074,129841,136489,136753,134581,136704,132566,133006,134725,136802,140082,141927,135700,141203,145139,143118,141495,143015,141909,140772,143130,145153,141280,142473,137847,143217,140758,139755,141336,140795,139204,140818,142698,139614,141809,139037,141721
1.583333333,127422,132017,129849,131823,132631,134393,130385,133289,131098,129255,134689,134953,130298,134281,130399,134888,132399,132707,134613,132006,135028,132926,135887,133487,142567,141693,141890,138985,141510,142253,138889,140199,137324,139349,137391,136739,138993,143224,143209,140361,140708,144573,142307,139718,138032,140632,138797,141594,130247,132643,134018,135597,132192,130931,133365,134333,132066,133361,139336,136832,131340,132802,135741,132666,135571,132304,135171,134230,134533,137227,140993,134068,140072,143551,143211,145189,141744,140145,141205,140824,144040,143412,142201,138155,144141,142250,141285,139236,142022,138160,141759,143792,139325,141580,138599,140750
1.666666667,128149,133071,129857,132659,133445,132861,130184,134054,130803,127906,136492,134449,129050,133316,132138,132291,132342,133036,134277,131313,131625,131310,135350,135369,143986,142683,141680,141531,140372,141617,139977,141504,140747,138493,139243,136692,141615,141611,142806,139168,140043,143391,141061,139372,139202,140203,137884,137422,131621,132590,133989,134909,130124,131908,133295,133067,133020,131990,136434,134695,130317,133857,137652,134679,134601,132618,134253,133969,136199,140462,141243,135816,141228,143977,140329,141635,139029,139427,139742,140974,145473,139850,144207,139483,143010,141947,140262,139742,141153,139710,139812,143549,139959,142312,140927,139950
1.75,130406,131146,131094,133904,134326,133295,130081,133279,130013,129196,136520,135271,130573,133342,133086,134491,132346,132857,134167,131478,131570,132036,137184,135315,140709,141022,141371,139367,140926,139704,138000,140026,137671,138346,138821,135660,141650,143417,142889,140218,141520,145003,143976,140286,138959,140793,140234,141680,132306,132759,131903,132868,129727,131109,133010,132040,131960,133807,136313,137055,130377,133878,134628,132937,133050,132878,134011,133138,135185,136543,141394,133811,140346,141894,142365,142791,141292,141212,142367,141443,146051,144512,142734,139885,141620,140304,140876,139233,140956,139325,140216,143599,138627,139411,138808,139929
1.833333333,131100,132437,130152,131753,131799,132346,130848,133179,129672,130117,137364,135601,131451,132715,129846,131697,133727,133906,135341,131169,132041,131471,137013,135605,141742,141158,140680,139722,139346,141205,139067,138800,137267,137607,137942,137410,139424,142384,140703,139177,136528,143243,141049,139092,138228,138850,135663,140152,129519,133176,133439,134312,131611,131083,132923,133605,132176,130950,139410,138456,130178,134731,136361,134940,132219,133948,136095,135326,136827,136694,141703,136297,141486,142798,140971,143261,142002,141341,141411,140239,142387,141354,141825,139237,141504,140033,139222,140277,139123,139809,139817,141581,140001,141912,139220,139866
1.916666667,129562,132840,129745,132380,133801,132108,130407,133930,130036,128130,136486,136024,130064,131578,132099,132429,133541,131895,135690,132073,133067,130687,137432,137452,141952,142259,140214,140063,139594,139563,138695,139967,139087,138128,138718,136404,139688,143478,143283,139660,139903,144700,141389,141418,141219,140429,141593,140602,129808,132612,133014,134819,130150,130904,133683,133234,132671,132842,139265,137190,130283,133744,135809,132082,134140,132855,134185,134965,134387,137360,140535,135708,142369,143090,142803,143780,142219,141951,142385,142797,146065,144020,143211,138647,141811,139594,140210,140000,141574,139200,139026,142163,140337,142681,139637,140369
2,129647,131841,130025,132038,131108,131782,131248,132826,129682,127905,137531,136267,130330,134662,132461,133661,131913,132959,133884,132599,130153,133342,136541,136543,140079,139025,140799,140091,138890,140411,140037,137584,137718,138444,137240,136297,139645,142522,142591,139218,139526,142796,142172,138326,138121,140760,138386,140268,130451,132890,134303,135039,131176,131929,132787,132952,132417,132911,141474,138018,128383,132556,133776,133089,134132,134005,133350,133477,134435,137921,140336,134691,141651,142470,140838,141430,140843,140224,141302,141376,142522,142072,143036,137722,142656,140401,139941,140076,141744,138473,139571,143927,139160,141566,138876,139194
2.083333333,128363,131157,128663,130001,132123,131948,132758,131958,128377,127289,137730,136085,127345,132707,130115,132859,132186,132739,133045,132855,130372,131326,139100,138063,139698,139623,140757,139399,138230,140446,139730,140616,138621,138238,138642,136299,137356,140581,141699,140120,139196,144393,142182,140138,138114,139853,136913,139377,129181,131059,131165,133958,128882,130022,132349,131175,132204,132314,139091,135516,130497,136287,135775,133279,133512,133646,135094,135066,134416,135493,144134,137725,139832,142899,140745,140985,141361,139649,140566,140647,144017,142024,140624,137479,144259,140260,138762,139335,140657,137706,138711,141218,140356,140505,139514,138778
