domain,AC103,AC161,AC221,AC229,AC248,AC266,AC286,AC306,AC315,AC369,AC433,AC435,AC449,AC451,AC463,AC464,AC507,AC561,AC630,AC690,AC732,AC754,AC759,AC761,AC83,AC832,AC854,AC861,AC872
D ,44,39,44,44,39,76,41,41,36,38,31,39,32,23,41,23,30,34,25,37,26,27,26,29,45,29,36,34,30
M ,267,281,247,238,236,233,238,310,285,255,268,190,196,152,267,261,154,271,210,256,165,237,150,112,281,243,220,173,113
N ,102,173,148,152,104,59,148,142,114,148,110,75,89,13,158,18,61,85,83,122,57,13,37,6,132,90,116,9,6
O ,198,174,145,146,151,127,146,192,165,136,153,145,136,91,163,132,129,154,118,162,92,121,87,76,157,164,146,111,74
T ,324,336,251,249,194,199,263,376,259,255,243,167,167,112,277,172,114,237,271,287,181,143,94,68,255,245,207,160,66
U ,128,102,65,71,76,29,74,84,57,83,41,85,47,26,109,27,40,56,28,43,26,27,18,19,89,36,63,18,19
V ,103,78,77,82,96,136,75,90,79,80,64,53,58,57,83,71,50,79,74,62,56,93,46,50,87,81,74,68,46
W ,2,3,2,2,5,0,2,0,3,2,2,2,3,1,7,0,5,1,1,2,3,1,0,0,2,2,6,0,0
Z ,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
A ,2,1,1,1,2,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,2,0,1,1,0
B ,3,3,4,4,1,1,3,3,4,3,4,4,3,0,2,1,1,4,1,4,1,0,0,1,2,5,1,1,1
J ,255,218,226,227,226,284,231,256,224,247,208,192,193,183,253,201,192,236,224,216,202,201,170,201,249,210,218,199,198
K ,501,195,304,325,207,344,303,279,247,305,210,127,134,284,430,163,131,176,393,210,246,163,198,138,370,216,174,304,133
L ,156,124,124,126,109,145,121,139,129,122,120,130,128,112,135,118,112,142,120,120,126,116,105,99,124,135,125,135,100
C ,443,228,227,246,183,204,229,224,268,274,254,170,181,128,269,133,122,489,162,246,212,123,109,119,280,250,174,234,111
E ,615,234,401,412,201,368,403,322,400,399,286,172,169,253,530,194,171,598,312,286,283,174,221,205,417,291,195,275,198
F ,91,76,85,86,63,137,84,76,83,79,80,52,54,102,104,63,63,83,109,85,91,61,77,76,100,82,64,96,78
G ,329,190,168,178,159,223,170,338,239,226,172,192,177,427,308,232,114,264,409,185,268,129,244,132,234,154,163,262,149
H ,245,164,194,197,146,212,189,172,211,194,192,143,151,172,228,131,109,282,252,202,213,133,104,120,208,195,125,242,121
I ,396,153,215,264,146,154,223,172,199,177,159,149,152,118,247,125,121,329,157,154,220,117,95,81,208,160,150,288,80
P ,347,196,219,231,169,196,215,224,215,273,207,151,170,133,321,179,123,230,142,224,140,139,116,119,261,236,153,173,117
Q ,131,49,65,69,49,63,66,79,64,56,64,35,41,36,74,30,36,160,47,63,62,31,23,31,74,82,35,103,26
R ,378,214,255,275,220,282,268,298,287,264,235,174,166,194,288,210,160,301,310,246,250,214,145,146,272,247,175,255,142
S ,264,213,250,250,221,309,242,265,284,262,265,198,189,144,264,168,215,218,183,258,164,134,114,161,286,280,180,161,154
