domain,AC103,AC161,AC221,AC229,AC248,AC266,AC286,AC306,AC315,AC369,AC433,AC435,AC449,AC451,AC463,AC464,AC507,AC561,AC630,AC690,AC732,AC754,AC759,AC761,AC83,AC832,AC854,AC861,AC872
CL0004 ,4,2,1,0,2,1,0,4,4,0,0,5,4,10,0,12,1,8,4,0,1,6,3,0,1,1,2,0,0
CL0007 ,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,2,0,0,0,0,1,0
CL0010 ,2,0,0,0,2,5,0,1,1,2,2,1,1,0,0,2,2,4,0,2,0,2,0,0,0,2,2,0,0
CL0013 ,25,17,11,12,16,47,11,22,10,12,8,12,15,13,11,14,9,14,11,9,12,23,10,6,10,12,8,14,8
CL0014 ,8,14,14,15,13,11,14,15,12,8,11,8,11,15,9,17,7,10,13,13,13,11,10,8,12,11,9,13,9
CL0015 ,95,45,48,54,52,69,48,48,74,55,57,40,41,66,92,31,25,68,81,59,60,26,44,33,81,48,41,68,33
CL0016 ,15,6,16,18,12,17,17,26,11,16,7,7,7,15,16,3,5,11,23,8,19,5,9,4,14,13,9,16,3
CL0020 ,21,20,17,18,21,11,19,29,19,16,17,10,11,4,15,58,9,21,9,16,5,28,3,3,17,17,11,5,3
CL0021 ,13,14,17,18,12,21,17,13,15,15,15,12,10,12,18,14,10,15,16,13,14,14,11,14,15,14,10,19,15
CL0022 ,1,0,1,1,0,2,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,9,0,0,2,0,0,0,0
CL0023 ,347,196,212,222,147,263,219,252,223,236,203,133,137,194,276,141,109,265,221,207,210,134,165,146,240,208,151,208,140
CL0025 ,59,68,32,32,33,57,36,61,48,46,44,31,33,22,53,34,30,51,48,51,24,24,20,15,43,47,42,24,14
CL0026 ,8,3,5,5,4,3,5,7,6,3,4,5,6,1,5,2,2,4,1,7,2,1,1,0,5,5,3,6,0
CL0027 ,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,2,2,0,1,1,1,1,0,0,0,1,1,1,1
CL0028 ,98,61,64,69,63,50,66,90,59,41,46,56,48,54,70,39,48,67,80,49,64,42,26,25,63,52,47,99,21
CL0029 ,54,27,38,42,22,13,36,38,28,37,22,23,19,11,48,24,18,70,17,23,21,20,7,4,49,13,20,20,4
CL0030 ,2,4,3,3,3,7,3,2,2,3,3,1,2,2,3,3,2,3,3,3,2,2,3,1,4,3,5,1,1
CL0031 ,1,0,3,2,2,1,3,1,0,2,1,1,1,0,1,0,2,5,1,1,1,1,0,0,2,1,0,1,0
CL0032 ,26,12,9,11,11,10,9,24,10,14,10,12,8,11,21,9,7,14,19,9,22,10,10,6,17,9,7,15,7
CL0034 ,25,17,20,21,7,14,21,21,14,17,6,5,10,19,19,10,11,39,31,9,25,8,6,8,22,5,9,22,11
CL0035 ,34,22,11,11,18,28,11,14,20,12,12,16,16,10,18,24,17,32,12,15,14,15,8,17,16,18,16,10,17
CL0036 ,79,57,65,70,65,69,67,73,69,80,58,59,56,61,89,61,46,73,71,61,66,54,44,47,72,62,64,68,50
CL0037 ,8,8,7,7,8,6,6,12,11,6,11,5,4,0,7,4,5,9,3,13,1,2,1,4,8,11,10,6,4
CL0039 ,37,33,32,33,26,36,32,34,25,34,27,26,29,22,33,26,26,29,34,32,36,29,18,26,31,26,27,33,25
CL0040 ,12,12,12,12,13,18,12,12,12,12,12,11,11,12,12,11,10,13,13,12,11,11,11,13,12,12,14,11,13
CL0042 ,20,10,12,12,12,16,13,8,10,16,6,4,6,4,12,5,3,3,4,6,6,8,4,5,10,11,9,7,6
CL0043 ,3,2,1,1,1,4,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,2,2
CL0044 ,17,11,13,12,10,10,12,14,13,12,13,14,17,10,11,21,8,17,9,16,8,15,9,3,14,14,9,11,3
