domain,AC103,AC161,AC221,AC229,AC248,AC266,AC286,AC306,AC315,AC369,AC433,AC435,AC449,AC451,AC463,AC464,AC507,AC561,AC630,AC690,AC732,AC754,AC759,AC761,AC83,AC832,AC854,AC861,AC872
role:11010 ,13,12,13,13,14,13,13,12,11,14,10,9,10,9,15,7,9,10,9,10,13,5,10,9,16,10,13,14,9
role:11020 ,19,16,17,17,17,23,17,15,17,18,16,14,15,11,19,13,15,22,12,16,15,12,10,9,17,16,18,13,9
role:11030 ,13,11,14,14,7,13,14,11,13,13,11,10,9,12,16,7,9,14,10,12,10,5,10,9,13,11,7,10,8
role:11040 ,15,9,12,10,8,13,12,11,11,10,14,10,10,9,13,9,8,16,9,12,10,1,9,9,13,10,8,10,9
role:11050 ,7,3,5,5,3,5,5,5,6,5,8,4,4,8,6,2,3,8,5,7,7,0,7,3,5,9,2,5,3
role:11060 ,12,9,9,9,8,9,9,10,7,9,7,8,7,7,9,8,8,8,10,7,8,8,6,1,9,8,8,7,1
role:12010 ,4,4,4,4,5,5,4,4,3,4,3,3,3,4,4,4,2,3,4,4,4,2,5,4,4,3,5,5,3
role:12020 ,6,6,6,6,5,7,6,6,6,7,6,6,6,6,6,4,5,6,5,6,4,5,5,6,6,6,5,4,6
role:12030 ,16,16,17,17,16,16,17,14,16,18,16,16,16,16,18,10,18,16,19,16,18,14,16,16,17,16,16,19,16
role:12040 ,11,9,9,9,7,7,9,8,9,9,9,8,8,8,9,8,9,8,8,9,7,7,8,8,9,9,7,8,9
role:12050 ,2,5,4,4,2,13,4,2,6,3,5,3,2,3,3,3,0,3,3,5,3,4,4,8,4,5,2,2,8
role:12070 ,5,8,6,6,0,3,6,6,4,1,8,0,0,2,6,0,1,1,2,7,2,2,2,2,6,4,1,2,2
role:13010 ,21,18,24,24,20,23,24,18,20,21,17,15,16,2,25,14,16,14,3,17,3,11,2,14,24,17,20,2,14
role:13020 ,3,3,2,2,2,0,2,4,4,2,5,2,2,0,2,0,1,2,0,4,0,0,0,0,2,4,1,0,0
role:13030 ,8,4,7,9,3,4,7,5,5,3,3,4,6,2,6,2,4,3,2,3,6,2,1,1,5,3,3,9,1
role:14010 ,4,4,5,5,6,5,5,3,3,5,3,3,3,0,5,0,0,0,0,3,0,3,0,1,5,3,2,3,1
role:14015 ,4,4,7,7,5,5,7,3,6,8,6,5,5,5,8,6,6,6,5,6,7,5,5,5,8,6,5,7,5
role:14020 ,20,17,25,25,9,16,25,16,23,25,23,16,21,8,24,11,15,15,8,23,22,9,6,12,27,23,9,19,12
