Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,109269,118555,115298,116361,116181,118300,117376,116275,118110,117710,117682,115092,112450,117463,115852,116547,119297,117485,121233,118433,120980,120556,119642,117575,108724,117622,116980,117967,116526,116588,119988,125164,118878,119222,120241,116508,107767,116992,117023,117892,115755,119617,120179,118070,120087,119327,119252,118876,109262,112033,114605,114929,115262,117505,118869,121360,118665,121786,121025,117593,111547,115563,115766,116515,116671,118463,118397,119799,121570,123757,119576,116543,110715,114443,114514,118997,120179,118309,120019,123846,124212,121802,122828,118608,111436,112318,115389,115242,113392,115618,116713,118674,118473,118224,118208,118483
0.083333333,111396,118725,114869,117914,116575,117722,116628,118242,116931,116120,120111,115189,112010,116193,115202,117748,116834,118053,119048,119114,117411,117351,117975,116412,108658,115472,115452,118280,116819,116458,118289,122906,120070,118162,119980,115879,108112,115527,114475,117343,116078,119442,118747,118598,119667,119099,116108,116681,108131,112935,114073,116479,113845,117920,120221,120022,119133,121724,121082,114436,110185,115152,116452,116540,117214,117831,118249,119205,121904,123341,121479,117898,108282,116504,113597,118620,117155,116999,115805,121444,122468,118384,121530,117233,111076,112729,114119,115334,112933,114905,115375,115869,117222,116320,116941,115168
0.166666667,111127,118060,114018,115760,116967,117562,117537,118321,119193,117998,120106,114186,111615,116329,115242,116678,117668,119774,119963,119828,117896,118778,119074,116299,108991,115290,115435,115980,115536,117547,119331,121484,118678,118522,121665,115175,108582,115354,117242,116838,116620,120091,120172,120961,121336,118622,119969,118803,108605,111728,113687,114542,115797,116231,119301,120425,118624,120102,121709,116489,110755,115429,117000,116725,115482,117573,118276,118556,120178,120308,121484,118614,111450,115486,114976,119291,119641,119953,118669,123459,123834,120541,123930,118771,108767,114531,112616,117194,111611,114801,115819,115687,116327,118659,118053,119599
0.25,110533,118218,114076,118453,116314,116992,118242,119725,117968,116619,118060,113690,111229,117390,114827,117866,117470,117343,120947,119777,118933,119678,118219,117945,109569,114978,117188,116993,118463,118011,118780,123052,117790,118566,121661,116193,108737,115413,115396,116860,116125,121103,117853,118906,120878,117949,118512,117305,107990,113138,114766,116220,115277,118533,119338,118649,120185,122326,123283,118241,112619,116787,116505,116331,115306,117616,117539,119528,120163,120336,122133,115123,111400,114697,113354,118970,116398,119555,118896,121115,123747,118844,121653,118017,110054,113184,112029,116581,112000,115517,116119,116306,117832,119553,116697,118499
0.333333333,111333,117951,114273,116821,119149,118789,118177,118797,118474,117471,118605,116468,111513,117689,116111,116647,117604,118380,121828,119460,120273,117862,118463,115686,109127,116859,121160,116097,119466,118110,118531,124420,120930,118873,121732,118913,109100,114663,116153,115712,116991,120333,117944,119883,120132,121128,116643,118273,108446,111270,114122,115422,115347,117508,117769,119548,118465,120030,121350,116243,111386,115319,116863,117108,117111,118260,118747,121307,121736,120660,121518,118497,110298,115431,113559,117762,118486,118382,118633,123316,124250,120004,122628,117264,112780,112909,112481,114468,113192,115186,114736,114301,115769,117706,116826,117772
0.416666667,111417,116781,113799,115576,116793,119719,116749,119413,118151,118183,118907,114669,109881,116280,115434,117636,118213,117976,117855,117723,119195,118156,120347,117038,109769,115613,118674,116059,117347,115083,119061,122792,118134,117674,120690,116457,107487,114817,115571,116390,117340,121318,120297,119686,120850,120488,117428,119810,107941,113351,114963,115211,113073,117676,120331,120644,119738,122685,123433,117091,112100,117105,117446,114913,117503,119143,117305,119537,120299,120639,121602,116981,110189,115000,113713,119980,116266,118785,117502,121825,123684,118811,123343,118428,110562,113155,113697,115722,111205,114903,114574,115223,114805,118427,117540,118920
0.5,111613,119268,115144,116271,118176,119212,118119,119909,120408,116682,119560,116434,112216,118179,113353,119063,116577,116981,121015,119038,119825,120960,119603,117172,110904,118155,120080,117166,120420,118521,119593,123723,120060,121175,122832,116972,108186,116826,116864,117537,116589,120313,120161,119700,119716,120606,118862,117200,108864,112979,114075,116524,114204,117428,122623,121219,121240,123140,124886,121546,111863,116402,118911,116152,117162,117592,117844,120580,120381,121629,122550,118829,111177,115990,116269,120654,117419,118124,118569,122757,123276,121602,124304,115914,111768,113589,113078,114837,112276,116455,116588,117629,116485,119244,118322,118601
0.583333333,112078,117955,114413,117121,117023,119126,117102,119108,118691,119327,122543,117506,110883,117841,113076,118337,117828,118151,118297,118042,120223,118274,120989,116527,110212,116430,117137,116730,118221,116714,120052,121644,118834,119683,120226,117086,108692,117399,116941,116755,116958,121141,120691,121029,121528,121558,120242,117469,108404,112684,114512,114551,114454,118641,119430,120294,118385,122516,127660,120868,112057,116193,117733,115220,116416,117743,116902,119043,119161,120934,121711,116242,110109,116791,112814,120226,119325,119161,119654,122585,124665,120373,124576,118295,111015,112844,113409,113867,112820,115178,116019,114295,116906,118164,117658,119493
0.666666667,113298,119034,114167,116252,117750,117255,117581,119744,119443,119448,123107,118100,110396,117503,116311,118902,116998,119626,121231,119056,121735,119910,119025,117355,109807,115973,118363,117008,118764,116942,118382,122215,119625,120273,120327,116487,108224,115069,115905,116424,117026,119699,119979,119324,120840,119100,117679,116410,108908,112059,113845,116855,114582,118062,121398,119962,118707,121720,129191,125499,110443,115600,114792,116484,116727,116922,119997,121336,121433,120508,121441,117576,110109,116603,115159,119151,117176,116727,116460,121781,122479,119436,120791,116624,110984,112987,114163,115838,111829,116068,115830,116032,118824,118688,116903,118130
0.75,112196,118091,114565,114749,116777,118730,117192,115567,116207,118672,123341,120416,111016,117636,113741,118356,117109,118453,119153,119459,120983,121312,118401,116319,111481,115327,116976,116196,115706,116933,117561,123532,119028,120589,120587,117506,108281,114551,116548,116673,117305,119980,117939,118820,119255,118578,118898,117436,109438,112350,115139,114227,114042,118176,118182,119469,118643,122477,129407,123234,112143,114527,113988,114562,117647,118599,117955,121194,121003,123183,121215,119341,110931,116181,114316,118580,118086,116723,119702,121509,122926,119786,122752,115474,111682,112372,111873,115609,111106,114723,114247,115355,115827,118101,117823,117041
